Name,Place,State,Latitude,Longitude,Placesymbol
Taj Mahal,Agra,Uttar Predesh,27.174986,78.042161,H
Amber Palace,Jaipur ,Rajasthan,26.985438,75.85134,H
Ranthambore nartional Park,Prempura,Rajasthan,26.017156,76.502187,N
Red Fort,New Delhi,Delhi,28.6561639,77.2388316,F
Hawa Mahal,Jaipur ,Rajasthan,26.9239411,75.8245551,F
City Palace-Jaipur,Jaipur ,Rajasthan,26.9255048,75.8214113,F
Agra Fort,Agra,Uttar Predesh,27.1795376,78.0189233,F
Quatub Minar,New Delhi,Delhi,28.5244801,77.1833319,H
India Gate,New Delhi,delhi,28.6129167,77.227321,H
Humayan's Tomb,New Delhi,Delhi,28.5932895,77.2485605,H
Thekkady,Kumily,Kerala,9.6094388,77.1429913,N
Jim Corbett National park,Ramnanagar,Uttarakhand,29.5300184,78.7724716,N
Mehrangarh Fort,Jodhpur ,Rajasthan,26.2979412,73.0166553,F
Jama Masjid,New Delhi,Delhi,28.650565,77.233592,H
Ganges,Gazipur,Uttar Predesh,25.535797,83.195508,R
Jantar Mantar,New Delhi,Delhi,28.6270594,77.214438,H
Harimandir Sahib,Amritsar,Punjab,31.6199848,74.8742962,R
Swaraj Dweep,Island,Andaman and Nicobar Islands,11.990871,92.9554615,N
Ajanta Caves,Lenapur,Maharastra,20.5518653,75.7010634,N
Lotus Temple,New Delhi,Delhi,28.5534967,77.2566377,H
Gateway of India,Mumbai,Maharastra,18.9219892,72.8324656,H
Ellora Caves,Ellora,Maharastra,20.025822,75.1758088,N
jal Mahal,Jaipur ,Rajasthan,26.953473,75.8439493,H
Rohtang La,Manali ,Himachal Predesh,32.3741231,77.2464951,N
Umaid Bhawan Palace,Jodhpur ,Rajasthan,26.2810637,73.0455045,H
Kaziranga National Prk,Kanchanjuri,Assam,26.5827672,93.1559421,N
Akshardham,New Delhi,Delhi,28.6126782,77.2750732,H
Periyaar National Park,Mlappara,Kerala,9.4621603,77.2346587,N
Lake Pichola,Udaipur,Rajasthan,24.5720189,73.6702452,N
Jaisalmer Fort,Jaisalmer,Rajasthan,26.9125503,70.9125576,F
Nahargarh Fort,Jaipur ,Rajasthan,26.9373175,75.8133372,F
Kumbhalgarh Fort,Kumbhalgarh,Rajasthan,25.152107,73.5736199,F
Elephant Caves,Gharapuri,Maharastra,18.9621421,72.9246071,N
Mysore Palace,Mysuru,karnataka,12.3051403,76.6529596,H
Jaigarh Fort,Jaipur ,Rajasthan,26.9850925,75.8434041,F
Dhudhsagar Falls,Sonaulim,Goa,15.3144427,74.3121186,N
Meenakshi Amman Temple,Madurai,Tamil Nadu,9.9195098,78.1171531,R
Kanha Tiger Reserve,Kanha,Madhya Predesh,22.3041416,80.54600807,N
Eravikulam national Park,Kannan devan Hills,Kerala,10.1339225,77.0560782,N
Nagarhole National Park,Hunsur ,karnataka,12.0407391,76.1012962,N
Spitti Vallay,Marango Rangarik,Himachal Predesh,32.2461543,78.0261612,N
Fort Kochi,Kochi,Kerala,9.960622,76.2360067,F
Solang Nala,Burwa,Himachal Predesh,32.3116271,77.1471547,N
Gir National Park,Bhuvatirath,Gujarat,21.1330012,70.7843612,N
Valley of Flowers National Prk,Ghangaria,Uttarakhand,30.7280446,79.603314,N
Hidimba Devi Temple,Manali ,Himachal Predesh,32.2396369,77.1865259,R
TigerHill,Senchal Forest,Darjeeling,26.9965969,88.2872674,N
Nainital Lake,Nainital,Uttarakhand,29.3855841,79.454825,N
Ranthambore Fort,Sawai Madhopur,Rajasthan,26.0185096,76.4474178,F
